micnum,ccode1,ccode2,year,dyfatalmin1,dyfatalmax1,dyfatalmin2,dyfatalmax2,dyhiact1,dyhiact2,dyhostlev1,dyhostlev2,numevents,version
51,710,220,1952,600,1250,65,150,22,22,5,5,2,mic-tdd-1.01
51,710,220,1953,500,750,40,50,22,22,5,5,1,mic-tdd-1.01
51,731,220,1950,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
51,731,220,1951,3701,4750,112,136,22,22,5,5,5,mic-tdd-1.01
51,710,350,1950,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
51,710,350,1951,175,250,29,54,22,22,5,5,2,mic-tdd-1.01
51,710,350,1952,61,165,21,75,22,22,5,5,3,mic-tdd-1.01
51,710,350,1953,560,790,50,75,22,22,5,5,3,mic-tdd-1.01
51,731,350,1950,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
51,710,530,1951,5,25,5,25,17,17,4,4,2,mic-tdd-1.01
51,710,530,1952,200,230,15,35,22,22,5,5,2,mic-tdd-1.01
51,710,530,1953,136,205,31,95,22,22,5,5,3,mic-tdd-1.01
51,731,530,1952,1,50,1,10,22,22,5,5,1,mic-tdd-1.01
