micnum,stmon,stday,styear,endmon,endday,endyear,fatalmin,fatalmax,hiact,hostlev,outcome,numa,numb,version
4010,1,26,1993,1,26,1993,0,0,11,3,5,1,1,mic-1.0
4011,4,8,1995,6,13,1995,0,0,17,4,5,1,1,mic-1.0
4012,12,17,1995,12,22,1995,0,0,15,4,5,1,1,mic-1.0
4013,1,9,1995,7,25,1995,370,899,22,5,5,1,1,mic-1.0
4014,10,15,1993,10,16,1993,0,0,12,3,5,1,1,mic-1.0
4015,8,25,1995,9,23,1995,0,0,12,3,5,1,1,mic-1.0
4016,10,18,1993,9,18,1994,0,0,13,4,1,7,1,mic-1.0
4018,1,-9,1993,4,-9,1993,5,5,17,4,5,1,1,mic-1.0
4021,3,3,1993,3,24,1993,0,0,8,3,5,2,1,mic-1.0
4022,11,5,1993,9,3,1999,28,102,17,4,5,1,5,mic-1.0
4024,4,16,1994,4,28,1994,0,0,7,3,5,1,1,mic-1.0
4027,1,-9,1995,5,13,1995,0,0,15,4,5,1,1,mic-1.0
4028,12,-9,1996,9,23,1997,0,0,15,4,5,1,1,mic-1.0
4029,8,-9,1993,8,-9,1993,0,0,7,3,5,1,1,mic-1.0
4030,5,-9,1994,8,-9,1994,0,0,15,4,5,1,1,mic-1.0
4031,3,7,1995,4,16,1995,0,0,16,4,1,1,1,mic-1.0
4035,6,-9,1994,11,14,1994,0,0,12,3,5,1,1,mic-1.0
4038,1,22,1993,4,11,1993,1,1,16,4,5,1,1,mic-1.0
4039,10,14,1993,10,14,1993,0,0,16,4,5,1,1,mic-1.0
4040,6,8,1994,6,8,1995,0,0,16,4,5,1,1,mic-1.0
4041,4,10,1994,9,8,1994,2,2,17,4,5,1,1,mic-1.0
4042,11,26,1993,9,27,1995,0,0,16,4,5,1,1,mic-1.0
4045,3,-9,1995,3,-9,1995,0,0,7,3,5,1,1,mic-1.0
4046,4,23,1994,6,13,1994,0,0,12,3,5,2,1,mic-1.0
4048,1,26,1993,1,-9,1993,0,0,7,3,8,1,1,mic-1.0
4050,4,8,1994,4,11,1994,0,0,15,4,5,1,1,mic-1.0
4051,2,15,1993,2,15,1993,0,0,7,3,5,1,1,mic-1.0
4054,3,3,1993,2,21,1994,27,55,17,4,5,6,1,mic-1.0
4058,6,26,1993,6,26,1993,1,1,17,4,5,1,1,mic-1.0
4060,3,25,1995,3,25,1995,0,0,7,3,5,1,1,mic-1.0
4061,8,21,1995,8,21,1995,0,0,7,3,5,1,1,mic-1.0
4062,7,-9,1996,7,-9,1996,0,0,7,3,5,1,1,mic-1.0
4063,9,2,1996,9,19,1996,0,0,8,3,5,1,1,mic-1.0
4064,7,-9,1995,3,23,1996,0,0,11,3,5,1,2,mic-1.0
4065,8,23,1994,10,-9,1994,0,0,7,3,5,1,2,mic-1.0
4066,2,1,1993,2,4,1993,0,0,8,3,5,1,1,mic-1.0
4067,2,18,1993,2,18,1993,1,1,17,4,5,1,1,mic-1.0
4068,7,26,1995,7,-9,1995,0,0,14,4,5,1,1,mic-1.0
4069,3,31,1993,4,7,1993,0,0,15,4,7,1,1,mic-1.0
4071,10,23,1994,10,23,1994,0,0,11,3,8,1,1,mic-1.0
4072,3,13,1993,7,25,1993,0,0,16,4,5,1,1,mic-1.0
4073,3,11,1993,3,11,1993,0,0,1,2,5,1,1,mic-1.0
4075,3,5,1993,5,1,1993,0,0,17,4,6,1,1,mic-1.0
4076,6,1,1996,11,29,1996,0,0,16,4,5,1,1,mic-1.0
4078,8,5,1994,4,14,1997,62,80,17,4,5,1,1,mic-1.0
4079,3,8,1994,7,-9,1994,44,44,17,4,5,1,1,mic-1.0
4081,11,-9,1994,11,-9,1994,0,0,11,3,5,1,1,mic-1.0
4082,12,-9,1995,4,-9,1996,0,0,16,4,5,1,1,mic-1.0
4083,3,14,1995,3,22,1995,0,0,12,3,5,1,1,mic-1.0
4084,11,-9,1995,11,-9,1995,0,0,11,3,8,1,1,mic-1.0
4085,5,28,1993,5,28,1993,0,0,17,4,8,1,1,mic-1.0
4088,2,-9,1999,4,-9,2000,0,0,12,3,5,1,2,mic-1.0
4089,10,25,1997,10,25,1997,0,0,17,4,8,1,1,mic-1.0
4092,12,28,1995,7,9,1996,0,0,17,4,5,1,1,mic-1.0
