micnum,ccode,stmon,stday,styear,endmon,endday,endyear,sidea,fatalmin,fatalmax,hiact,hostlev,orig,version
1825,2,12,11,1937,12,11,1937,0,1,1,0,1,1,mic-1.0
2000,210,5,11,1953,9,23,1953,1,1,25,17,4,1,mic-1.0
2000,850,5,11,1953,9,23,1953,0,1,25,17,4,1,mic-1.0
2001,713,9,20,1953,11,8,1953,0,20,100,0,1,1,mic-1.0
2001,775,9,20,1953,11,8,1953,1,0,0,16,4,1,mic-1.0
2002,710,5,21,1960,5,30,1960,0,0,0,0,1,1,mic-1.0
2002,2,5,21,1960,5,30,1960,1,0,0,7,3,1,mic-1.0
2005,140,2,4,1903,2,4,1903,0,0,0,0,1,1,mic-1.0
2005,2,2,4,1903,2,4,1903,1,0,0,1,2,1,mic-1.0
2006,2,1,9,1950,2,27,1950,0,0,0,15,4,1,mic-1.0
2006,713,1,9,1950,2,27,1950,1,0,0,16,4,1,mic-1.0
2009,710,7,27,1950,8,-9,1950,0,0,0,17,4,1,mic-1.0
2009,200,7,27,1950,8,-9,1950,1,0,0,17,4,1,mic-1.0
2010,220,10,3,1950,10,28,1950,1,0,0,7,3,1,mic-1.0
2010,710,10,3,1950,10,28,1950,0,0,0,0,1,1,mic-1.0
2013,200,5,-9,1838,11,-9,1838,0,0,0,0,1,1,mic-1.0
2013,140,5,-9,1838,11,-9,1838,1,0,0,14,4,1,mic-1.0
2014,230,5,19,1864,5,19,1864,0,0,0,0,1,1,mic-1.0
2014,2,5,19,1864,5,19,1864,1,0,0,1,2,1,mic-1.0
2018,800,10,12,1953,10,27,1953,0,0,0,1,2,1,mic-1.0
2018,775,10,12,1953,10,27,1953,1,0,0,16,4,1,mic-1.0
2020,800,7,21,1948,10,18,1948,0,1,1,17,4,1,mic-1.0
2020,220,7,21,1948,10,18,1948,1,0,0,17,4,1,mic-1.0
2022,220,2,14,1952,3,-9,1952,0,0,0,0,1,1,mic-1.0
2022,800,2,14,1952,3,-9,1952,1,0,0,8,3,1,mic-1.0
2023,800,10,-9,1953,3,27,1954,0,0,0,11,3,1,mic-1.0
2023,775,10,-9,1953,3,27,1954,1,0,0,16,4,1,mic-1.0
2024,800,3,2,1955,3,2,1955,1,0,0,11,3,1,mic-1.0
2024,775,3,2,1955,3,2,1955,0,0,0,0,1,1,mic-1.0
2025,775,9,18,1957,10,-9,1957,0,0,0,0,1,1,mic-1.0
2025,750,9,18,1957,10,-9,1957,1,0,0,14,4,1,mic-1.0
2029,816,12,30,1960,12,30,1960,1,0,0,7,3,1,mic-1.0
2029,812,12,30,1960,12,30,1960,0,0,0,0,1,1,mic-1.0
2030,800,8,-9,1960,10,29,1960,1,0,0,16,4,1,mic-1.0
2030,812,8,-9,1960,10,29,1960,0,0,0,16,4,1,mic-1.0
2031,800,2,10,1964,3,-9,1964,1,0,0,8,3,1,mic-1.0
2031,812,2,10,1964,3,-9,1964,0,0,0,16,4,1,mic-1.0
2032,710,5,10,1955,5,10,1955,0,1,25,17,4,1,mic-1.0
2032,2,5,10,1955,5,10,1955,1,0,0,17,4,1,mic-1.0
2033,710,7,23,1954,7,26,1954,0,0,0,17,4,1,mic-1.0
2033,2,7,23,1954,7,26,1954,1,0,0,17,4,1,mic-1.0
2035,710,7,27,1953,9,2,1953,0,0,0,0,1,1,mic-1.0
2035,2,7,27,1953,9,2,1953,1,16,16,17,4,1,mic-1.0
2035,365,7,27,1953,7,29,1953,0,0,0,17,4,1,mic-1.0
2038,200,8,16,1958,8,18,1958,1,0,0,7,3,1,mic-1.0
2038,710,8,16,1958,8,18,1958,0,0,0,0,1,1,mic-1.0
2040,93,2,-9,1920,2,29,1920,0,0,0,0,1,1,mic-1.0
2040,91,2,-9,1920,2,29,1920,1,0,0,10,3,1,mic-1.0
2042,93,5,3,1957,5,3,1957,0,0,0,11,3,1,mic-1.0
2042,94,5,3,1957,5,3,1957,1,0,0,7,3,1,mic-1.0
2043,140,11,3,1866,11,3,1866,0,0,0,0,1,1,mic-1.0
