micnum,endmonth,endday,endyear,endingmethod,talks,issuemention,ceasefire,withdrawal,reaffirm,demarcate,acceptfuture,futureagree,infoexchange,disarm,institutioncreate,refugees,pow,monitoring,territoryexchange,travel,requestmediate,compensation,policychange,baddefeat,regimechange,nonstateaggr,global,regional,state,nonstate,mediatorname,releaseaircraft,releasepersonnel,releaseshipping,releasearms,version
230,11,21,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
236,11,8,1849,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
237,1,15,1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,micend-1.0
241,6,13,1923,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,micend-1.0
242,11,25,1904,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
247,1,20,1905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,United States,0,0,0,0,micend-1.0
248,5,5,1932,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
252,10,-9,1946,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,micend-1.0
254,2,13,1903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,micend-1.0
256,12,18,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,micend-1.0
257,11,25,1918,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,,0,0,0,0,micend-1.0
258,8,14,1945,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,micend-1.0
